Type,PosX,PosY,PosZ,HP,Speed,HitSize,Size,Attack,Serch1,Serch2
Enemy3D,6000.0,500.0,0.0,17,8.0,0,0,3.0,3000,2000
Enemy3D,2100.0,500.0,400.0,12,5.0,0,0,3.0,3000,2000
Enemy3D,2000.0,500.0,-7000.0,14,8.0,0,0,3.0,3000,2000
Enemy3D,900.0,500.0,-4000.0,40,5.0,0,0,3.0,3000,2000
Enemy3D,2100.0,500.0,2000.0,12,5.0,0,0,3.0,3000,2000
Enemy3D,3000.0,500.0,0.0,17,8.0,0,0,3.0,3000,2000
Enemy3D,-2100.0,500.0,400.0,12,5.0,0,0,3.0,3000,2000
Enemy3D,500.0,500.0,-6000.0,14,8.0,0,0,4.0,3000,2000
Enemy3D,6000.0,800.0,-7400.0,15,9.0,0,0,4.0,4000,1000
Enemy3D,6800.0,800.0,-6000.0,20,5.0,0,0,4.0,4000,1000
Enemy3D,-6500.0,500.0,-6400.0,15,5.0,0,0,4.0,4000,2000
Enemy3D,-7006.0,500.0,-6500.0,21,5.0,0,0,4.0,4000,2000
Enemy3D,-5600.0,500.0,-6800.0,12,5.0,0,0,3.0,4000,2000
Enemy3D,4000.0,500.0,3000.0,23,5.0,0,0,3.0,3000,2000
Enemy3D,-6000.0,500.0,-4400.0,11,5.0,0,0,3.0,3000,2000
Enemy3D,-1000.0,500.0,6000.0,18,5.0,0,0,3.0,3000,2000
Enemy3D,-3000.0,500.0,4000.0,22,5.0,0,0,3.0,3000,2000
Enemy3D,-2000.0,500.0,-3400.0,19,5.0,0,0,3.0,3000,2000
Enemy3D_AT,900.0,500.0,4000.0,30,5.0,0,1.3,5.0,3000,2000
Enemy3D_AT,2100.0,500.0,2000.0,23,5.0,0,1.8,5.0,3000,2000
Enemy3D_AT,-6000.0,500.0,-3000.0,28,5.0,0,1.3,7.0,3000,2000
Enemy3D_AT,2900.0,500.0,-4000.0,40,5.0,0,1.5,5.0,3000,2000
Enemy3D_AT,2100.0,500.0,5000.0,32,5.0,0,1.5,5.0,3000,2000
Enemy3D_AT,5000.0,500.0,5000.0,28,5.0,0,1.3,7.0,3000,2000
DinoTori,6000.0,300.0,-1400.0,22,20.0,1700.0,2.3,0,0,0
DinoTori,-5400.0,800.0,5400.0,11,0.0,1000.0,1.5,0,0,0
DinoTori,-6800.0,300.0,-7000.0,24,5.0,100.0,1.0,0,0,0
DinoTori,-5800.0,300.0,-4700.0,15,5.0,1200.0,2.0,0,0,0
DinoTori,-1800.0,800.0,-2400.0,15,5.0,100.0,1.2,0,0,0
DinoTori,6400.0,1200.0,-6400.0,10,5.0,100.0,1.0,0,0,0
DinoTori,-1800.0,0.0,-2400.0,10,20.0,400.0,1.0,0,0,0
Dino2,-5600.0,300.0,-6200.0,10,7.0,300.0,1.0,3.0,0,0
Dino2,6400.0,300.0,4800.0,18,5.0,100.0,1.0,3.0,0,0
Dino2,5000.0,300.0,3800.0,21,6.0,600.0,2.0,5.0,0,0
Dino2,6000.0,800.0,-7200.0,10,6.0,300.0,1.0,3.0,0,0
Dino2,7600.0,800.0,-6700.0,15,4.0,600.0,1.0,3.0,0,0
